uct_time,launch_name,payloads,rocket_name,rocket_boosters,rocket_height,rocket_diameter,rocket_mass,launchpad_name,launchpad_region,launchpad_geo,landpad_name,landpad_type,landpad_region,landpad_geo,outcome
2014-09-07 05:00:00+00:00,AsiaSat 6,"[{'type': 'Satellite', 'mass': 4428, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,"(nan, nan)",Success
2014-09-21 05:52:00+00:00,CRS-4,"[{'type': 'Dragon 1.1', 'mass': 2216, 'orbit': 'ISS'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,Ocean,,"(nan, nan)",Success
2015-01-10 09:47:00+00:00,CRS-5,"[{'type': 'Dragon 1.1', 'mass': 2395, 'orbit': 'ISS'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",JRTI-1,ASDS,Florida,"(28.4104, -80.6188)",Success
2015-02-11 23:03:00+00:00,DSCOVR,"[{'type': 'Satellite', 'mass': 570, 'orbit': 'ES-L1'}]",Falcon 9,0,70.0,3.806944444444444,556404.5416666666,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,Ocean,,"(nan, nan)",Success
2015-03-02 03:50:00+00:00,ABS-3A / Eutelsat 115W B,"[{'type': 'Satellite', 'mass': 4159, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,"(nan, nan)",Success
2015-04-14 20:10:00+00:00,CRS-6,"[{'type': 'Dragon 1.1', 'mass': 1898, 'orbit': 'ISS'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",JRTI-1,ASDS,Florida,"(28.4104, -80.6188)",Success
2015-04-27 23:03:00+00:00,TürkmenÄlem 52°E / MonacoSAT,"[{'type': 'Satellite', 'mass': 4707, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.806944444444444,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,"(nan, nan)",Success
2015-06-28 14:21:00+00:00,CRS-7,"[{'type': 'Dragon 1.1', 'mass': 1952, 'orbit': 'ISS'}]",Falcon 9,0,70.0,3.7,556404.5416666666,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Failure
2015-12-22 01:29:00+00:00,OG-2 Mission 2,"[{'type': 'Satellite', 'mass': 2034, 'orbit': 'LEO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",LZ-1,RTLS,Florida,"(28.485833, -80.544444)",Success
2016-01-17 15:42:00+00:00,Jason 3,"[{'type': 'Satellite', 'mass': 553, 'orbit': 'PO'}]",Falcon 9,0,70.0,3.7,549054.0,VAFB SLC 4E,California,"(34.632093, -120.610829)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
