launch_name,payloads,rocket_name,launchpad_name,launchpad_region,launchpad_geo,landpad_name,landpad_type,landpad_region,landpad_geo,outcome
SXM-8,"{'type': 'Satellite', 'mass': 7000, 'orbit': 'GTO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
GPS III SV05,"{'type': 'Satellite', 'mass': 3681, 'orbit': 'MEO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
Transporter-2,"{'type': 'Satellite', 'mass': None, 'orbit': 'SSO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",LZ-1,RTLS,Florida,"(28.485833, -80.544444)",Success
CRS-23,"{'type': 'Dragon 2.0', 'mass': 2200, 'orbit': 'ISS'}",Falcon 9,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",ASOG,ASDS,Florida,"(33.7291858, -118.262015)",Success
Starlink 2-1 (v1.5),"{'type': 'Satellite', 'mass': 15600, 'orbit': 'PO'}",Falcon 9,VAFB SLC 4E,California,"(34.632093, -120.610829)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
Inspiration4,"{'type': 'Crew Dragon', 'mass': 12519, 'orbit': 'LEO'}",Falcon 9,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
Crew-3,"{'type': 'Crew Dragon', 'mass': 12510, 'orbit': 'ISS'}",Falcon 9,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",ASOG,ASDS,Florida,"(33.7291858, -118.262015)",Success
Starlink 4-1 (v1.5),"{'type': 'Satellite', 'mass': 15635, 'orbit': 'LEO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
DART,"{'type': 'Satellite', 'mass': 670, 'orbit': 'TLI'}",Falcon 9,VAFB SLC 4E,California,"(34.632093, -120.610829)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
Starlink 4-3 (v1.5),"{'type': 'Satellite', 'mass': 11260, 'orbit': 'PO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",ASOG,ASDS,Florida,"(33.7291858, -118.262015)",Success
IXPE,"{'type': 'Satellite', 'mass': 325, 'orbit': 'LEO'}",Falcon 9,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
Starlink 4-4 (v1.5),"{'type': 'Satellite', 'mass': 13470, 'orbit': 'PO'}",Falcon 9,VAFB SLC 4E,California,"(34.632093, -120.610829)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
Türksat 5B,"{'type': 'Satellite', 'mass': 3500, 'orbit': 'GTO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",ASOG,ASDS,Florida,"(33.7291858, -118.262015)",Success
CRS-24,"{'type': 'Dragon 2.0', 'mass': 2989, 'orbit': 'ISS'}",Falcon 9,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
Starlink 4-5 (v1.5),"{'type': 'Satellite', 'mass': 14356, 'orbit': 'VLEO'}",Falcon 9,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",ASOG,ASDS,Florida,"(33.7291858, -118.262015)",Success
Transporter-3,"{'type': 'Satellite', 'mass': None, 'orbit': 'LEO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",LZ-1,RTLS,Florida,"(28.485833, -80.544444)",Success
Starlink 4-6 (v1.5),"{'type': 'Satellite', 'mass': 13260, 'orbit': 'VLEO'}",Falcon 9,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",ASOG,ASDS,Florida,"(33.7291858, -118.262015)",Success
CSG-2,"{'type': 'Satellite', 'mass': 2240, 'orbit': 'SSO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",LZ-1,RTLS,Florida,"(28.485833, -80.544444)",Success
NROL-87,"{'type': 'Satellite', 'mass': None, 'orbit': 'LEO'}",Falcon 9,VAFB SLC 4E,California,"(34.632093, -120.610829)",LZ-4,RTLS,California,"(34.632989, -120.615167)",Success
Starlink 4-7 (v1.5),"{'type': 'Satellite', 'mass': 14260, 'orbit': 'VLEO'}",Falcon 9,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",ASOG,ASDS,Florida,"(33.7291858, -118.262015)",Success
Starlink 4-8 (v1.5),"{'type': 'Satellite', 'mass': 12730, 'orbit': 'VLEO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",ASOG,ASDS,Florida,"(33.7291858, -118.262015)",Success
